id,source,title,author,pub-year,pub-decade,nation,genre,canonical,Multi-volume,gutenberg_url,ht_bib_key,narr-perspective,subjects,bookshelves,copyright,download_count,authors
244,gutenberg,A Study in Scarlet,"Doyle, Arthur Conan",1887.0,1880-1890,Scottish,nan,True,nan,https://www.gutenberg.org/files/244/244-h/244-h.htm,nan,1st,"Detective and mystery stories; England -- Fiction; Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction",Browsing: Crime/Mystery; Browsing: Fiction; Browsing: Literature; Detective Fiction,False,12756,"Doyle, Arthur Conan (1859-1930)"
32692,gutenberg,A Day's Ride: A Life's Romance,"Lever, Charles",1861.0,1860-1869,Irish,nan,False,nan,https://www.gutenberg.org/cache/epub/32692/pg32692-images.html,nan,1st,Fiction,Browsing: Fiction; Browsing: Literature,False,447,"Lever, Charles James (1806-1872)"
69952,gutenberg,"Leonard Lindsay: Or, the Story of a Buccaneer","Reach, Angus",1877.0,1870-1879,Scottish,nan,False,nan,https://www.gutenberg.org/cache/epub/69952/pg69952-images.html,nan,1st,Buccaneers -- Fiction; Historical fiction,Browsing: Fiction; Browsing: History - General; Browsing: Literature,False,162,"Reach, Angus B. (Angus Bethune) (1821-1856)"
21241,gutenberg,The Rifle Rangers,"Reid, Mayne",1850.0,1850-1859,English,nan,False,nan,https://www.gutenberg.org/cache/epub/21241/pg21241-images.html,nan,1st,Adventure and adventurers -- Juvenile fiction; Hunters -- Juvenile fiction; Mexico -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: Fiction; Children's Fiction,False,297,"Reid, Mayne (1818-1883)"
421,gutenberg,Kidnapped,"Stevenson, Robert Louis",1886.0,1880-1889,Scottish,nan,True,nan,https://www.gutenberg.org/cache/epub/421/pg421-images.html,nan,1st,Adventure and adventurers -- Fiction; Historical fiction; Kidnapping -- Fiction; Scotland -- History -- 18th century -- Fiction,Adventure; Best Books Ever Listings; Browsing: Children & Young Adult Reading; Browsing: Fiction; Browsing: History - European; Children's Literature; Historical Fiction; Movie Books,False,2578,"Stevenson, Robert Louis (1850-1894)"
4558,gutenberg,Barry Lyndon,"Thackeray, William Makepeace",1844.0,1840-1849,English,nan,True,nan,https://www.gutenberg.org/cache/epub/4558/pg4558-images.html,nan,1st,Europe -- Fiction; Gamblers -- Fiction; Humorous stories; Ireland -- Fiction; Irish -- Foreign countries -- Fiction; Rogues and vagabonds -- Fiction; Satire,Browsing: Fiction; Browsing: History - General; Browsing: Humour; Browsing: Literature; Historical Fiction; Movie Books,False,934,"Thackeray, William Makepeace (1811-1863)"
57875,gutenberg,Anne Hereford,"Wood, Ellen",1871.0,1870-1879,English,nan,False,nan,https://www.gutenberg.org/files/57875/57875-h/57875-h.htm,nan,1st,England -- Fiction; France -- Fiction; Governesses -- Fiction; Orphans -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,False,202,"Wood, Henry, Mrs. (1814-1887)"
unknown,hathi,David Copperfield,"Dickens, Charles",nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,
unknown,gutenberg,Great Expectations,"Dickens, Charles",1861.0,1860-1869,English,nan,nan,nan,nan,nan,1st,,,,,
unknown,gutenberg,The Coral Island,"Ballantyne, Robert Michael",1857.0,1850-1859,Scottish,nan,nan,nan,nan,nan,1st,,,,,
